subject_id,session_id,signal,check_name,severity,detected,metric_value,threshold,message
S01,S01,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S01,S01,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S01,S01,HR,flatline,REVIEW,False,6.0,60,No prolonged flatline detected
S01,S01,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S01,S01,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S01,S01,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S01,S01,EDA,flatline,REVIEW,False,1.0,60,No prolonged flatline detected
S01,S01,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S01,S01,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S01,S01,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S01,S01,ACC,flatline,REVIEW,False,2.91,30,No prolonged flatline detected
S01,S01,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S01,S01,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S01,S01,SESSION,complete_coverage,REVIEW,False,99.55,95.0,Complete signal coverage meets threshold
S01,S01,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S01,S01,SESSION,end_time_alignment,REVIEW,False,0.28,15.0,Sensor timing alignment is acceptable
S01,S01,SESSION,split_session,REVIEW,False,S01,Single recording,Session is stored as one recording
S02,S02,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S02,S02,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S02,S02,HR,flatline,REVIEW,False,8.0,60,No prolonged flatline detected
S02,S02,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S02,S02,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S02,S02,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S02,S02,EDA,flatline,REVIEW,False,1.0,60,No prolonged flatline detected
S02,S02,EDA,repeated_recording,REVIEW,True,1548.0,0,Large repeated recording segment detected
S02,S02,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S02,S02,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S02,S02,ACC,flatline,REVIEW,False,2.41,30,No prolonged flatline detected
S02,S02,ACC,repeated_recording,REVIEW,True,1548.19,0,Large repeated recording segment detected
S02,S02,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S02,S02,SESSION,complete_coverage,REVIEW,False,99.39,95.0,Complete signal coverage meets threshold
S02,S02,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S02,S02,SESSION,end_time_alignment,REVIEW,False,9.34,15.0,Sensor timing alignment is acceptable
S02,S02,SESSION,split_session,REVIEW,False,S02,Single recording,Session is stored as one recording
S03,S03,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S03,S03,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S03,S03,HR,flatline,REVIEW,False,4.0,60,No prolonged flatline detected
S03,S03,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S03,S03,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S03,S03,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S03,S03,EDA,flatline,REVIEW,False,1.0,60,No prolonged flatline detected
S03,S03,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S03,S03,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S03,S03,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S03,S03,ACC,flatline,REVIEW,False,11.53,30,No prolonged flatline detected
S03,S03,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S03,S03,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S03,S03,SESSION,complete_coverage,REVIEW,False,99.37,95.0,Complete signal coverage meets threshold
S03,S03,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S03,S03,SESSION,end_time_alignment,REVIEW,False,0.84,15.0,Sensor timing alignment is acceptable
S03,S03,SESSION,split_session,REVIEW,False,S03,Single recording,Session is stored as one recording
S04,S04,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S04,S04,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S04,S04,HR,flatline,REVIEW,False,5.0,60,No prolonged flatline detected
S04,S04,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S04,S04,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S04,S04,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S04,S04,EDA,flatline,REVIEW,False,1.0,60,No prolonged flatline detected
S04,S04,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S04,S04,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S04,S04,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S04,S04,ACC,flatline,REVIEW,False,1.94,30,No prolonged flatline detected
S04,S04,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S04,S04,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S04,S04,SESSION,complete_coverage,REVIEW,False,99.37,95.0,Complete signal coverage meets threshold
S04,S04,SESSION,start_time_alignment,REVIEW,False,10.0,15.0,Sensor timing alignment is acceptable
S04,S04,SESSION,end_time_alignment,REVIEW,False,0.78,15.0,Sensor timing alignment is acceptable
S04,S04,SESSION,split_session,REVIEW,False,S04,Single recording,Session is stored as one recording
S05,S05,HR,sampling_rate,FAIL,False,1.0,1.0,Sampling rate validated
S05,S05,HR,invalid_values,FAIL,False,0,0,All sensor values are numeric
S05,S05,HR,flatline,REVIEW,False,4.0,60,No prolonged flatline detected
S05,S05,HR,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S05,S05,EDA,sampling_rate,FAIL,False,4.0,4.0,Sampling rate validated
S05,S05,EDA,invalid_values,FAIL,False,0,0,All sensor values are numeric
S05,S05,EDA,flatline,REVIEW,False,0.75,60,No prolonged flatline detected
S05,S05,EDA,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S05,S05,ACC,sampling_rate,FAIL,False,32.0,32.0,Sampling rate validated
S05,S05,ACC,invalid_values,FAIL,False,0,0,All sensor values are numeric
S05,S05,ACC,flatline,REVIEW,False,3.97,30,No prolonged flatline detected
S05,S05,ACC,repeated_recording,REVIEW,False,0.0,0,No large repeated recording detected
S05,S05,SESSION,missing_signals,FAIL,False,None,No missing signals,All required signals received
S05,S05,SESSION,complete_coverage,REVIEW,False,99.37,95.0,Complete signal coverage meets threshold
