subject_id,session_id,protocol_version,event_number,timestamp
S01,S01,V1,1,2013-02-20 18:01:30+00:00
S01,S01,V1,2,2013-02-20 18:05:37+00:00
S01,S01,V1,3,2013-02-20 18:08:32+00:00
S01,S01,V1,4,2013-02-20 18:10:17+00:00
S01,S01,V1,5,2013-02-20 18:17:37+00:00
S01,S01,V1,6,2013-02-20 18:19:42+00:00
S01,S01,V1,7,2013-02-20 18:24:49+00:00
S01,S01,V1,8,2013-02-20 18:25:17+00:00
S01,S01,V1,9,2013-02-20 18:25:55+00:00
S01,S01,V1,10,2013-02-20 18:26:32+00:00
S01,S01,V1,11,2013-02-20 18:27:14+00:00
S01,S01,V1,12,2013-02-20 18:27:46+00:00
S01,S01,V1,13,2013-02-20 18:28:01+00:00
S02,S02,V1,1,2013-02-20 18:49:30+00:00
S02,S02,V1,2,2013-02-20 18:52:42+00:00
S02,S02,V1,3,2013-02-20 18:54:08+00:00
S02,S02,V1,4,2013-02-20 18:56:04+00:00
S02,S02,V1,5,2013-02-20 19:00:13+00:00
S02,S02,V1,6,2013-02-20 19:02:20+00:00
S02,S02,V1,7,2013-02-20 19:08:15+00:00
S02,S02,V1,8,2013-02-20 19:08:50+00:00
S02,S02,V1,9,2013-02-20 19:09:18+00:00
S02,S02,V1,10,2013-02-20 19:09:52+00:00
S02,S02,V1,11,2013-02-20 19:10:16+00:00
S02,S02,V1,12,2013-02-20 19:10:49+00:00
S02,S02,V1,13,2013-02-20 19:11:05+00:00
S03,S03,V1,1,2013-03-06 17:08:51+00:00
S03,S03,V1,2,2013-03-06 17:11:58+00:00
S03,S03,V1,3,2013-03-06 17:13:25+00:00
S03,S03,V1,4,2013-03-06 17:15:09+00:00
S03,S03,V1,5,2013-03-06 17:19:25+00:00
S03,S03,V1,6,2013-03-06 17:21:33+00:00
S03,S03,V1,7,2013-03-06 17:26:28+00:00
S03,S03,V1,8,2013-03-06 17:27:02+00:00
S03,S03,V1,9,2013-03-06 17:27:21+00:00
S03,S03,V1,10,2013-03-06 17:27:52+00:00
S03,S03,V1,11,2013-03-06 17:28:22+00:00
S03,S03,V1,12,2013-03-06 17:28:55+00:00
S03,S03,V1,13,2013-03-06 17:29:29+00:00
S04,S04,V1,1,2013-02-24 12:26:50+00:00
S04,S04,V1,2,2013-02-24 12:29:50+00:00
S04,S04,V1,3,2013-02-24 12:32:28+00:00
S04,S04,V1,4,2013-02-24 12:34:04+00:00
S04,S04,V1,5,2013-02-24 12:40:18+00:00
S04,S04,V1,6,2013-02-24 12:42:35+00:00
S04,S04,V1,7,2013-02-24 12:48:19+00:00
S04,S04,V1,8,2013-02-24 12:48:51+00:00
S04,S04,V1,9,2013-02-24 12:49:42+00:00
S04,S04,V1,10,2013-02-24 12:50:14+00:00
S04,S04,V1,11,2013-02-24 12:51:02+00:00
S04,S04,V1,12,2013-02-24 12:51:34+00:00
S04,S04,V1,13,2013-02-24 12:52:18+00:00
S05,S05,V1,1,2013-02-23 11:49:42+00:00
S05,S05,V1,2,2013-02-23 11:52:45+00:00
S05,S05,V1,3,2013-02-23 11:54:24+00:00
S05,S05,V1,4,2013-02-23 11:56:16+00:00
S05,S05,V1,5,2013-02-23 12:01:52+00:00
S05,S05,V1,6,2013-02-23 12:04:41+00:00
S05,S05,V1,7,2013-02-23 12:08:28+00:00
S05,S05,V1,8,2013-02-23 12:09:02+00:00
S05,S05,V1,9,2013-02-23 12:10:03+00:00
