subject_id,session_id,protocol_version,start_time,end_time,duration_minutes,signals_received,complete_seconds_percent,detected_issue_count,quality_status,detected_issues
S01,S01,V1,2013-02-20 17:55:19+00:00,2013-02-20 18:32:23+00:00,37.07,3/3,99.55,0,PASS,No automated issues detected
S02,S02,V1,2013-02-20 18:49:29+00:00,2013-02-20 19:41:05+00:00,51.6,3/3,99.39,2,REVIEW,EDA: Large repeated recording segment detected; ACC: Large repeated recording segment detected
S03,S03,V1,2013-03-06 17:04:13+00:00,2013-03-06 17:30:38+00:00,26.42,3/3,99.37,0,PASS,No automated issues detected
S04,S04,V1,2013-02-24 12:23:49+00:00,2013-02-24 12:52:42+00:00,28.88,3/3,99.37,0,PASS,No automated issues detected
S05,S05,V1,2013-02-23 11:46:26+00:00,2013-02-23 12:12:46+00:00,26.33,3/3,99.37,0,PASS,No automated issues detected
S06,S06,V1,2013-02-23 12:22:59+00:00,2013-02-23 12:47:02+00:00,24.05,3/3,99.24,0,PASS,No automated issues detected
S07,S07,V1,2013-02-24 11:47:55+00:00,2013-02-24 12:11:43+00:00,23.8,3/3,99.23,0,PASS,No automated issues detected
S08,S08,V1,2013-02-23 16:02:04+00:00,2013-02-23 16:25:52+00:00,23.8,3/3,99.23,0,PASS,No automated issues detected
S09,S09,V1,2013-02-24 11:15:28+00:00,2013-02-24 11:39:36+00:00,24.13,3/3,99.24,0,PASS,No automated issues detected
S10,S10,V1,2013-02-23 18:03:27+00:00,2013-02-23 18:31:05+00:00,27.63,3/3,99.34,0,PASS,No automated issues detected
S11,S11,V1,2013-02-24 09:51:45+00:00,2013-02-24 10:15:06+00:00,23.35,3/3,99.22,0,PASS,No automated issues detected
S12,S12,V1,2013-02-24 10:26:36+00:00,2013-02-24 10:53:19+00:00,26.72,3/3,99.38,0,PASS,No automated issues detected
S13,S13,V1,2013-02-24 17:05:44+00:00,2013-02-24 17:32:47+00:00,27.05,3/3,99.32,0,PASS,No automated issues detected
S14,S14,V1,2013-02-24 17:37:41+00:00,2013-02-24 18:05:46+00:00,28.08,3/3,99.41,0,PASS,No automated issues detected
S15,S15,V1,2013-02-25 11:35:59+00:00,2013-02-25 12:03:12+00:00,27.22,3/3,99.39,0,PASS,No automated issues detected
S16,S16,V1,2013-02-25 14:15:54+00:00,2013-02-25 14:43:37+00:00,27.72,3/3,99.4,0,PASS,No automated issues detected
S17,S17,V1,2013-02-25 18:40:08+00:00,2013-02-25 19:06:58+00:00,26.83,3/3,99.38,0,PASS,No automated issues detected
S18,S18,V1,2013-02-25 19:17:36+00:00,2013-02-25 19:44:46+00:00,27.17,3/3,99.39,0,PASS,No automated issues detected
f01,f01,V2,2013-06-12 16:18:58+00:00,2013-06-12 17:13:10+00:00,54.2,3/3,99.66,0,PASS,No automated issues detected
f02,f02,V2,2013-06-12 17:26:25+00:00,2013-06-12 18:16:00+00:00,49.58,3/3,99.66,0,PASS,No automated issues detected
f03,f03,V2,2013-06-12 18:28:42+00:00,2013-06-12 19:28:38+00:00,59.93,3/3,99.69,0,PASS,No automated issues detected
f04,f04,V2,2013-06-15 19:44:24+00:00,2013-06-15 20:45:11+00:00,60.78,3/3,99.7,0,PASS,No automated issues detected
f05,f05,V2,2013-07-02 10:07:30+00:00,2013-07-02 11:24:02+00:00,76.53,3/3,99.78,1,REVIEW,ACC: Prolonged unchanged signal detected
f06,f06,V2,2013-07-11 16:04:59+00:00,2013-07-11 16:57:51+00:00,52.87,3/3,99.68,0,PASS,No automated issues detected
f07,f07,V2,2013-07-12 20:01:45+00:00,2013-07-12 20:59:22+00:00,57.62,3/3,99.65,0,PASS,No automated issues detected
f08,f08,V2,2013-07-03 19:16:37+00:00,2013-07-03 20:09:38+00:00,53.02,3/3,99.65,0,PASS,No automated issues detected
f09,f09,V2,2013-06-30 12:03:41+00:00,2013-06-30 12:57:34+00:00,53.88,3/3,99.66,1,REVIEW,ACC: Prolonged unchanged signal detected
f10,f10,V2,2013-06-30 09:59:44+00:00,2013-06-30 10:45:18+00:00,45.57,3/3,99.56,0,PASS,No automated issues detected
f11,f11,V2,2013-07-14 18:02:40+00:00,2013-07-14 18:54:42+00:00,52.03,3/3,99.65,0,PASS,No automated issues detected
f12,f12,V2,2013-07-01 15:21:17+00:00,2013-07-01 16:41:25+00:00,80.13,3/3,99.77,0,PASS,No automated issues detected
f13,f13,V2,2013-07-03 10:51:24+00:00,2013-07-03 11:55:49+00:00,64.42,3/3,99.64,0,PASS,No automated issues detected
f14,f14_a,V2,2013-07-12 22:46:39+00:00,2013-07-12 22:58:22+00:00,11.72,3/3,98.58,1,REVIEW,SESSION: Session appears to be one segment of a split recording
f14,f14_b,V2,2013-07-12 22:59:54+00:00,2013-07-12 23:36:04+00:00,36.17,3/3,99.45,1,REVIEW,SESSION: Session appears to be one segment of a split recording
f15,f15,V2,2013-07-13 17:19:47+00:00,2013-07-13 18:30:07+00:00,70.33,3/3,99.74,0,PASS,No automated issues detected
f16,f16,V2,2013-07-19 10:52:55+00:00,2013-07-19 11:46:55+00:00,54.0,3/3,99.63,0,PASS,No automated issues detected
f17,f17,V2,2013-07-20 16:00:52+00:00,2013-07-20 16:58:13+00:00,57.35,3/3,99.65,0,PASS,No automated issues detected
f18,f18,V2,2013-07-21 19:25:10+00:00,2013-07-21 20:17:31+00:00,52.35,3/3,99.55,0,PASS,No automated issues detected
