subject_id,session_id,signal,source_rows,start_time,end_time,duration_seconds,expected_sampling_rate_hz,observed_sampling_rate_hz,sampling_rate_valid,invalid_value_count,source_file,issue
S01,S01,HR,2215,2013-02-20 17:55:29+00:00,2013-02-20 18:32:23+00:00,2214.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S01/HR.csv,None
S01,S01,EDA,8898,2013-02-20 17:55:19+00:00,2013-02-20 18:32:23.250000+00:00,2224.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S01/EDA.csv,None
S01,S01,ACC,71178,2013-02-20 17:55:19+00:00,2013-02-20 18:32:23.281250+00:00,2224.28125,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S01/ACC.csv,None
S02,S02,HR,3078,2013-02-20 18:49:39+00:00,2013-02-20 19:40:56+00:00,3077.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S02/HR.csv,None
S02,S02,EDA,12384,2013-02-20 18:49:29+00:00,2013-02-20 19:41:04.750000+00:00,3095.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S02/EDA.csv,None
S02,S02,ACC,99084,2013-02-20 18:49:29+00:00,2013-02-20 19:41:05.343750+00:00,3096.34375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S02/ACC.csv,None
S03,S03,HR,1576,2013-03-06 17:04:23+00:00,2013-03-06 17:30:38+00:00,1575.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S03/HR.csv,None
S03,S03,EDA,6342,2013-03-06 17:04:13+00:00,2013-03-06 17:30:38.250000+00:00,1585.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S03/EDA.csv,None
S03,S03,ACC,50748,2013-03-06 17:04:13+00:00,2013-03-06 17:30:38.843750+00:00,1585.84375,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S03/ACC.csv,None
S04,S04,HR,1724,2013-02-24 12:23:59+00:00,2013-02-24 12:52:42+00:00,1723.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S04/HR.csv,None
S04,S04,EDA,6930,2013-02-24 12:23:49+00:00,2013-02-24 12:52:41.250000+00:00,1732.25,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S04/EDA.csv,None
S04,S04,ACC,55458,2013-02-24 12:23:49+00:00,2013-02-24 12:52:42.031250+00:00,1733.03125,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S04/ACC.csv,None
S05,S05,HR,1571,2013-02-23 11:46:36+00:00,2013-02-23 12:12:46+00:00,1570.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S05/HR.csv,None
S05,S05,EDA,6324,2013-02-23 11:46:26+00:00,2013-02-23 12:12:46.750000+00:00,1580.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S05/EDA.csv,None
S05,S05,ACC,50592,2013-02-23 11:46:26+00:00,2013-02-23 12:12:46.968750+00:00,1580.96875,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S05/ACC.csv,None
S06,S06,HR,1434,2013-02-23 12:23:09+00:00,2013-02-23 12:47:02+00:00,1433.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S06/HR.csv,None
S06,S06,EDA,5772,2013-02-23 12:22:59+00:00,2013-02-23 12:47:01.750000+00:00,1442.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S06/EDA.csv,None
S06,S06,ACC,46200,2013-02-23 12:22:59+00:00,2013-02-23 12:47:02.718750+00:00,1443.71875,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S06/ACC.csv,None
S07,S07,HR,1419,2013-02-24 11:48:05+00:00,2013-02-24 12:11:43+00:00,1418.0,1.0,1.0,True,0,data/Wearable_Dataset/STRESS/S07/HR.csv,None
S07,S07,EDA,5712,2013-02-24 11:47:55+00:00,2013-02-24 12:11:42.750000+00:00,1427.75,4.0,4.0,True,0,data/Wearable_Dataset/STRESS/S07/EDA.csv,None
S07,S07,ACC,45714,2013-02-24 11:47:55+00:00,2013-02-24 12:11:43.531250+00:00,1428.53125,32.0,32.0,True,0,data/Wearable_Dataset/STRESS/S07/ACC.csv,None
